urun_id,lag_1w_indirim,lag_2w_indirim,lag_3w_indirim,rolling_std_indirim,max_indirim_train,indirimli_gun_orani,kampanyali_gun_orani,gozlem_sayisi,kategori_x,cluster,cluster_adi,kategori_enc,tahmini_indirim,isim,marka,kategori_y,kategori
10000049,20.4,20.4,40.25,0.0,60.1,1.0,1.0,15,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,27.70154533552632,Palette Deluxe Saç Boyası 1-1 Gece Mavisi,Palette,Saç Bakım,Saç Bakım
10000236,0.0,0.0,,0.0,60.1,0.1,1.0,10,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,9.779388092068608,Kalyon Tırnak Besleyici,Kalyon,Makyaj,Makyaj
10000237,0.0,0.0,,0.0,70.1,0.2,1.0,10,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,7.226940263828227,Kalyon Oje Kurutucu Sprey,Kalyon,Makyaj,Makyaj
10000240,0.0,,60.1,0.0,60.1,0.125,1.0,8,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,13.428176578417064,Kalyon Bakım Yağı,Kalyon,Makyaj,Makyaj
10000241,0.0,,30.1,0.0,70.3,0.2727272727272727,1.0,11,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,0.603521546162171,Kalyon Oje Çözücü,Kalyon,Makyaj,Makyaj
10000242,0.0,0.0,,0.0,60.1,0.09090909090909091,1.0,11,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,8.956254550773302,Kalyon Tırnak Eti Temizleyici,Kalyon,Makyaj,Makyaj
10000349,44.85,39.7,49.900000000000006,5.946707772653144,60.1,1.0,1.0,13,Anne & Bebek,0,Sürekli İndirimli Ana Katalog Ürünleri,0,48.03195463002056,Sebamed Pişik Önleyici Krem 100 ml,Sebamed,Anne & Bebek,Anne & Bebek
10000368,50.0,,60.0,0.0,70.0,0.5,1.0,10,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,35.333484453246726,Flormar Nail Enamel Yoğun Pigmentli Oje 352 Blackstar Red,Flormar,Makyaj,Makyaj
10000369,33.333333333333336,,30.0,28.867513459481287,70.0,0.42857142857142855,1.0,14,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,23.842332971402616,Flormar Nail Enamel Yoğun Pigmentli Oje 385 Red Velvet,Flormar,Makyaj,Makyaj
10000501,20.1,20.1,40.05,0.0,60.0,1.0,1.0,13,Hijyen & Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,7,28.408254881345897,Rocs Kids 3-7 Yaş Meyve Külahı Çocuk Diş Macunu 45 gr,Rocs,Hijyen & Bakım,Hijyen & Bakım
10000575,46.800000000000004,,50.2,11.085125168440817,60.1,1.0,1.0,13,Saç Bakım,0,Sürekli İndirimli Ana Katalog Ürünleri,12,43.63371228101152,Taft Powerful Age Saç Spreyi 250 ml,Taft,Saç Bakım,Saç Bakım
10001019,50.03333333333333,50.0,55.0,0.05000000000000071,70.0,0.9285714285714286,1.0,14,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,50.156779582113685,Flormar Dipliner Black-Classic Likit,Flormar,Makyaj,Makyaj
10001021,57.03333333333333,60.5,55.0,5.199999999999999,70.0,1.0,1.0,14,Makyaj,0,Sürekli İndirimli Ana Katalog Ürünleri,9,54.5229458685229,Pastel Matte Waterproof Long Lasting Eyeliner 320,Pastel,Makyaj,Makyaj
10001023,25.0,,30.0,35.35533905932738,70.0,0.3076923076923077,1.0,13,Makyaj,2,Oynak Fiyatlı ve Dönemsel Fırsat Ürünleri,9,22.92672350991887,Flormar Nail Enamel Yoğun Pigmentli Oje 417 Steel Gray,Flormar,Makyaj,Makyaj
10001273,43.699999999999996,45.3,45.3,2.3999999999999986,45.3,1.0,1.0,9,Duş & Banyo,1,Stabil ve Düşük Kampanyalı Ürünler,2,44.060010166923405,Dalan Antique Daphne (Antik Defne) Sabun 150 gr,Dalan,Duş & Banyo,Duş & Banyo
10001354,46.666666666666664,50.0,55.0,5.0,60.0,1.0,1.0,15,Güneş Ürünleri,0,Sürekli İndirimli Ana Katalog Ürünleri,6,48.90242465748913,Nivea Sun SPF50 Güneş Koruyucu ve Ferahlık Vücut Spreyi 200 ml,Nivea,Güneş Ürünleri,Güneş Ürünleri
